"location","count","date","hour","weather","temperature","windspeed","year","month","weekday","temperatureC","windspeedC"
"Neutor",24,"2017-01-01",7,"wolkig",-1,11,2017,"1","Sun",-11.0953094537017,-1.31282811896485
"Neutor",17,"2017-01-01",8,"wolkig",-1,9,2017,"1","Sun",-11.0953094537017,-3.31282811896485
"Neutor",190,"2017-01-02",7,"wolkig",1,9,2017,"1","Mon",-9.09530945370167,-3.31282811896485
"Neutor",276,"2017-01-02",8,"teilweise bewölkt",0,9,2017,"1","Mon",-10.0953094537017,-3.31282811896485
"Neutor",247,"2017-01-03",7,"wolkig",2,20,2017,"1","Tue",-8.09530945370167,7.68717188103515
"Neutor",395,"2017-01-03",8,"wolkig",2,19,2017,"1","Tue",-8.09530945370167,6.68717188103515
"Neutor",277,"2017-01-04",7,"wolkig",5,26,2017,"1","Wed",-5.09530945370167,13.6871718810351
"Neutor",448,"2017-01-04",8,"teilweise bewölkt",4,24,2017,"1","Wed",-6.09530945370167,11.6871718810351
"Neutor",283,"2017-01-05",7,"teilweise bewölkt",-2,7,2017,"1","Thu",-12.0953094537017,-5.31282811896485
"Neutor",509,"2017-01-05",8,"teilweise bewölkt",-3,6,2017,"1","Thu",-13.0953094537017,-6.31282811896485
"Neutor",254,"2017-01-06",7,"Klarer Himmel",-8,6,2017,"1","Fri",-18.0953094537017,-6.31282811896485
"Neutor",468,"2017-01-06",8,"Klarer Himmel",-8,4,2017,"1","Fri",-18.0953094537017,-8.31282811896485
"Neutor",40,"2017-01-07",7,"Schnee",-4,15,2017,"1","Sat",-14.0953094537017,2.68717188103515
"Neutor",92,"2017-01-07",8,"Schnee",-4,13,2017,"1","Sat",-14.0953094537017,0.687171881035148
"Neutor",9,"2017-01-08",7,"Nebel",1,0,2017,"1","Sun",-9.09530945370167,-12.3128281189649
"Neutor",22,"2017-01-08",8,"Nebel",1,9,2017,"1","Sun",-9.09530945370167,-3.31282811896485
"Neutor",646,"2017-01-09",7,"wolkig",0,9,2017,"1","Mon",-10.0953094537017,-3.31282811896485
"Neutor",972,"2017-01-09",8,"wolkig",0,9,2017,"1","Mon",-10.0953094537017,-3.31282811896485
"Neutor",621,"2017-01-10",7,"Regen",3,15,2017,"1","Tue",-7.09530945370167,2.68717188103515
"Neutor",917,"2017-01-10",8,"Regen",2,11,2017,"1","Tue",-8.09530945370167,-1.31282811896485
"Neutor",786,"2017-01-11",7,"wolkig",5,20,2017,"1","Wed",-5.09530945370167,7.68717188103515
"Neutor",1082,"2017-01-11",8,"wolkig",5,22,2017,"1","Wed",-5.09530945370167,9.68717188103515
"Neutor",777,"2017-01-12",7,"wolkig",5,26,2017,"1","Thu",-5.09530945370167,13.6871718810351
"Neutor",1074,"2017-01-12",8,"teilweise bewölkt",4,26,2017,"1","Thu",-6.09530945370167,13.6871718810351
"Neutor",469,"2017-01-13",7,"Schnee",1,22,2017,"1","Fri",-9.09530945370167,9.68717188103515
"Neutor",699,"2017-01-13",8,"wolkig",1,20,2017,"1","Fri",-9.09530945370167,7.68717188103515
"Neutor",100,"2017-01-14",7,"Klarer Himmel",1,17,2017,"1","Sat",-9.09530945370167,4.68717188103515
"Neutor",230,"2017-01-14",8,"teilweise bewölkt",1,19,2017,"1","Sat",-9.09530945370167,6.68717188103515
"Neutor",22,"2017-01-15",7,"Klarer Himmel",-2,7,2017,"1","Sun",-12.0953094537017,-5.31282811896485
"Neutor",54,"2017-01-15",8,"Klarer Himmel",-3,11,2017,"1","Sun",-13.0953094537017,-1.31282811896485
"Neutor",648,"2017-01-16",7,"wolkig",-1,6,2017,"1","Mon",-11.0953094537017,-6.31282811896485
"Neutor",936,"2017-01-16",8,"wolkig",-1,0,2017,"1","Mon",-11.0953094537017,-12.3128281189649
"Neutor",689,"2017-01-17",7,"wolkig",-4,4,2017,"1","Tue",-14.0953094537017,-8.31282811896485
"Neutor",1117,"2017-01-17",8,"wolkig",-4,6,2017,"1","Tue",-14.0953094537017,-6.31282811896485
"Neutor",693,"2017-01-18",7,"wolkig",-5,2,2017,"1","Wed",-15.0953094537017,-10.3128281189649
"Neutor",1094,"2017-01-18",8,"wolkig",-5,6,2017,"1","Wed",-15.0953094537017,-6.31282811896485
"Neutor",678,"2017-01-19",7,"Klarer Himmel",-4,2,2017,"1","Thu",-14.0953094537017,-10.3128281189649
"Neutor",1037,"2017-01-19",8,"teilweise bewölkt",-4,4,2017,"1","Thu",-14.0953094537017,-8.31282811896485
"Neutor",679,"2017-01-20",7,"Klarer Himmel",-6,0,2017,"1","Fri",-16.0953094537017,-12.3128281189649
"Neutor",880,"2017-01-20",8,"Klarer Himmel",-5,2,2017,"1","Fri",-15.0953094537017,-10.3128281189649
"Neutor",73,"2017-01-21",7,"Klarer Himmel",-2,6,2017,"1","Sat",-12.0953094537017,-6.31282811896485
"Neutor",196,"2017-01-21",8,"Klarer Himmel",-2,6,2017,"1","Sat",-12.0953094537017,-6.31282811896485
"Neutor",42,"2017-01-22",7,"Nebel",-7,2,2017,"1","Sun",-17.0953094537017,-10.3128281189649
"Neutor",42,"2017-01-22",8,"Nebel",-7,0,2017,"1","Sun",-17.0953094537017,-12.3128281189649
"Neutor",676,"2017-01-23",7,"wolkig",-3,2,2017,"1","Mon",-13.0953094537017,-10.3128281189649
"Neutor",1054,"2017-01-23",8,"wolkig",-3,4,2017,"1","Mon",-13.0953094537017,-8.31282811896485
"Neutor",702,"2017-01-24",7,"wolkig",-1,2,2017,"1","Tue",-11.0953094537017,-10.3128281189649
"Neutor",1030,"2017-01-24",8,"Nebel",-1,7,2017,"1","Tue",-11.0953094537017,-5.31282811896485
"Neutor",748,"2017-01-25",7,"Nebel",-6,4,2017,"1","Wed",-16.0953094537017,-8.31282811896485
"Neutor",1087,"2017-01-25",8,"Nebel",-7,4,2017,"1","Wed",-17.0953094537017,-8.31282811896485
"Neutor",717,"2017-01-26",7,"",-4,4,2017,"1","Thu",-14.0953094537017,-8.31282811896485
"Neutor",1093,"2017-01-26",8,"",-4,6,2017,"1","Thu",-14.0953094537017,-6.31282811896485
"Neutor",607,"2017-01-27",7,"Klarer Himmel",-2,9,2017,"1","Fri",-12.0953094537017,-3.31282811896485
"Neutor",844,"2017-01-27",8,"Klarer Himmel",-2,7,2017,"1","Fri",-12.0953094537017,-5.31282811896485
"Neutor",70,"2017-01-28",7,"Klarer Himmel",3,4,2017,"1","Sat",-7.09530945370167,-8.31282811896485
"Neutor",192,"2017-01-28",8,"Klarer Himmel",2,7,2017,"1","Sat",-8.09530945370167,-5.31282811896485
"Neutor",35,"2017-01-29",7,"",3,9,2017,"1","Sun",-7.09530945370167,-3.31282811896485
"Neutor",70,"2017-01-29",8,"",4,13,2017,"1","Sun",-6.09530945370167,0.687171881035148
"Neutor",615,"2017-01-30",7,"Regen",4,11,2017,"1","Mon",-6.09530945370167,-1.31282811896485
"Neutor",807,"2017-01-30",8,"Regen",4,11,2017,"1","Mon",-6.09530945370167,-1.31282811896485
"Neutor",722,"2017-01-31",7,"Nebel",1,6,2017,"1","Tue",-9.09530945370167,-6.31282811896485
"Neutor",1021,"2017-01-31",8,"Nebel",1,6,2017,"1","Tue",-9.09530945370167,-6.31282811896485
"Neutor",772,"2017-02-01",7,"wolkig",2,9,2017,"2","Wed",-8.09530945370167,-3.31282811896485
"Neutor",1062,"2017-02-01",8,"wolkig",2,15,2017,"2","Wed",-8.09530945370167,2.68717188103515
"Neutor",763,"2017-02-02",7,"Nebel",3,6,2017,"2","Thu",-7.09530945370167,-6.31282811896485
"Neutor",1060,"2017-02-02",8,"Nebel",3,7,2017,"2","Thu",-7.09530945370167,-5.31282811896485
"Neutor",636,"2017-02-03",7,"wolkig",6,6,2017,"2","Fri",-4.09530945370167,-6.31282811896485
"Neutor",838,"2017-02-03",8,"Regen",6,6,2017,"2","Fri",-4.09530945370167,-6.31282811896485
"Neutor",172,"2017-02-04",7,"teilweise bewölkt",6,7,2017,"2","Sat",-4.09530945370167,-5.31282811896485
